Data As Of,Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age,COVID,Pneumonia,Influenza,"Pneumonia, Influenza","Pneumonia, Influenza, COVID",Total,Footnote
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arkansas,All Ages,0,57,,63,63,697,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arkansas,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arkansas,18-64 years,0,12,,15,15,189,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arkansas,65 years and over,0,45,,48,48,502,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,California,All Ages,0,465,43,508,508,5865,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,California,0-17 years,0,,,,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,California,18-64 years,0,81,18,99,99,1404,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,California,65 years and over,0,382,24,406,406,4401,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Colorado,All Ages,0,47,,52,52,839,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Colorado,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Colorado,18-64 years,0,12,,16,16,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Colorado,65 years and over,0,35,,36,36,618,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Connecticut,All Ages,0,34,,35,35,638,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Connecticut,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Connecticut,18-64 years,0,,,,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Connecticut,65 years and over,0,27,0,27,27,478,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Delaware,All Ages,0,11,0,11,11,207,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Delaware,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Delaware,18-64 years,0,,0,,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Delaware,65 years and over,0,,0,,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,District of Columbia,All Ages,0,,,,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,District of Columbia,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,District of Columbia,18-64 years,0,,0,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,District of Columbia,65 years and over,0,,,,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Florida,All Ages,0,246,31,277,277,4240,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Florida,0-17 years,0,0,,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Florida,18-64 years,0,43,16,59,59,999,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Florida,65 years and over,0,203,14,217,217,3206,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Georgia,All Ages,0,112,22,134,134,1813,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Georgia,0-17 years,0,0,,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Georgia,18-64 years,0,29,,35,35,534,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Georgia,65 years and over,0,83,14,97,97,1258,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Hawaii,All Ages,0,26,,28,28,240,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Hawaii,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Hawaii,18-64 years,0,,0,,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Hawaii,65 years and over,0,20,,22,22,182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Idaho,All Ages,0,19,,21,21,279,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Idaho,0-17 years,0,,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Idaho,18-64 years,0,,,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Idaho,65 years and over,0,16,,17,17,206,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Illinois,All Ages,0,146,,149,149,2261,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Illinois,0-17 years,0,,,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Illinois,18-64 years,0,30,,31,31,557,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Illinois,65 years and over,0,115,,116,116,1678,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Indiana,All Ages,0,118,13,131,131,1445,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Indiana,0-17 years,0,,,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Indiana,18-64 years,0,16,,22,22,347,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Indiana,65 years and over,0,101,,107,107,1075,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Iowa,All Ages,0,36,,39,39,667,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Iowa,0-17 years,0,,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Iowa,18-64 years,0,,,,,148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Iowa,65 years and over,0,30,,32,32,511,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kansas,All Ages,0,51,,60,60,605,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kansas,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kansas,18-64 years,0,,,,,122,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kansas,65 years and over,0,44,,51,51,474,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kentucky,All Ages,0,93,10,103,103,1097,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kentucky,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kentucky,18-64 years,0,21,,25,25,302,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Kentucky,65 years and over,0,72,,78,78,787,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Louisiana,All Ages,0,53,,56,56,930,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Louisiana,0-17 years,0,0,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Louisiana,18-64 years,0,10,0,10,10,276,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Louisiana,65 years and over,0,43,,45,45,640,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maine,All Ages,0,22,0,22,22,325,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maine,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maine,18-64 years,0,0,0,0,0,61,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maine,65 years and over,0,22,0,22,22,260,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maryland,All Ages,0,90,12,102,102,1066,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maryland,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maryland,18-64 years,0,21,,27,27,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Maryland,65 years and over,0,69,,74,74,756,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Massachusetts,All Ages,0,93,,97,97,1215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Massachusetts,0-17 years,0,0,0,0,0,14,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Massachusetts,18-64 years,0,,,11,11,258,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Massachusetts,65 years and over,0,84,,86,86,943,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Michigan,All Ages,0,115,13,128,128,2062,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Michigan,0-17 years,0,,,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Michigan,18-64 years,0,25,,29,29,460,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Michigan,65 years and over,0,89,,95,95,1572,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Minnesota,All Ages,0,62,,69,69,994,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Minnesota,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Minnesota,18-64 years,0,,,11,11,210,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Minnesota,65 years and over,0,54,,58,58,778,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Mississippi,All Ages,0,61,,63,63,660,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Mississippi,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Mississippi,18-64 years,0,12,,13,13,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Mississippi,65 years and over,0,49,0,49,49,470,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Missouri,All Ages,0,76,,81,81,1266,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Missouri,0-17 years,0,,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Missouri,18-64 years,0,17,,19,19,299,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Missouri,65 years and over,0,58,,61,61,960,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Montana,All Ages,0,15,,16,16,234,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Montana,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Montana,18-64 years,0,,0,,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Montana,65 years and over,0,14,,15,15,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nebraska,All Ages,0,24,,30,30,346,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nebraska,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nebraska,18-64 years,0,,,,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nebraska,65 years and over,0,22,,26,26,271,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nevada,All Ages,0,40,,43,43,506,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nevada,0-17 years,0,,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nevada,18-64 years,0,12,,13,13,134,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Nevada,65 years and over,0,27,,29,29,367,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Hampshire,All Ages,0,18,,19,19,266,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Hampshire,0-17 years,0,0,0,0,0,0,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Hampshire,18-64 years,0,,0,,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Hampshire,65 years and over,0,17,,18,18,213,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Jersey,All Ages,0,76,,82,82,1641,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Jersey,0-17 years,0,0,0,0,0,13,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Jersey,18-64 years,0,15,,19,19,398,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Jersey,65 years and over,0,61,,63,63,1230,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Mexico,All Ages,0,32,10,42,42,432,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Mexico,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Mexico,18-64 years,0,,,14,14,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New Mexico,65 years and over,0,24,,28,28,305,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York,All Ages,0,204,14,218,218,2201,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York,0-17 years,0,,0,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York,18-64 years,0,19,,24,24,450,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York,65 years and over,0,184,,193,193,1738,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York City,All Ages,0,85,16,101,101,1117,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York City,0-17 years,0,0,0,0,0,15,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York City,18-64 years,0,13,,21,21,271,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,New York City,65 years and over,0,72,,80,80,831,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,North Carolina,All Ages,0,125,,134,134,1980,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,North Carolina,0-17 years,0,0,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,North Carolina,18-64 years,0,20,,24,24,493,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
